Наименование;Раздел;Таблица фигур;Вид затвора;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Цена закупки;Срок изготовления;Артикул;Картинки;Материал уплотнения
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 50 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;50;16;Чугун;0;Под заказ;1000001;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 80 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;80;16;Чугун;0;Под заказ;1000002;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 100 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;100;16;Чугун;0;Под заказ;1000003;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 125 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;125;16;Чугун;0;Под заказ;1000004;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 150 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;150;16;Чугун;0;Под заказ;1000005;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 200 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;200;16;Чугун;0;Под заказ;1000006;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 250 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;250;10;Чугун;0;Под заказ;1000007;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 300 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;300;10;Чугун;0;Под заказ;1000008;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 350 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;350;10;Чугун;0;Под заказ;1000009;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая ручная 30ч6бр DN 400 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч6бр;Параллельная;Фланцевое;Ручной;400;10;Чугун;0;Под заказ;1000010;;
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 50 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч906бр;Параллельная;Фланцевое;Под электропривод;50;16;Чугун;0;Под заказ;1000011;;
